datetime,holder,employee_id,merchant,amount_krw,note
2024-05-01 12:00:00,조연구원,E-J,택시,52667,일반
2024-05-02 01:21:00,배수석,E-I,강남역 룸살롱,33073,일반
2024-05-02 15:38:00,조연구원,E-J,마라탕집,9216,일반
2024-05-02 21:47:00,김팀장,E-A,문구점,74674,일반
2024-05-03 06:56:00,한과장,E-F,카페,52814,일반
2024-05-03 21:39:00,신인턴,E-H,편의점,28265,일반
2024-05-04 11:11:00,배수석,E-I,전자상가,14939,일반
2024-05-04 17:43:00,오주임,E-G,문구점,7954,일반
2024-05-05 04:02:00,배수석,E-I,배달앱,13128,일반
2024-05-05 13:35:00,박신입,E-C,편의점,64192,일반
2024-05-05 22:35:00,신인턴,E-H,마라탕집,57963,일반
2024-05-06 01:34:00,한과장,E-F,문구점,49862,일반
2024-05-06 14:07:00,김팀장,E-A,마라탕집,16809,일반
2024-05-06 23:35:00,김팀장,E-A,구내식당,13546,일반
2024-05-07 04:01:00,한과장,E-F,편의점,22308,일반
2024-05-07 07:01:00,이대리,E-B,마라탕집,29504,일반
2024-05-07 13:29:00,오주임,E-G,편의점,34420,일반
2024-05-07 20:48:00,신인턴,E-H,카페,46512,일반
2024-05-08 07:23:00,한과장,E-F,마라탕집,74262,일반
2024-05-08 12:34:00,이대리,E-B,카페,20022,일반
2024-05-08 22:31:00,조연구원,E-J,강남역 룸살롱,44551,일반
2024-05-09 03:20:00,한과장,E-F,문구점,16379,일반
2024-05-09 08:35:00,김팀장,E-A,편의점,78501,일반
2024-05-09 13:46:00,오주임,E-G,배달앱,33473,일반
2024-05-09 20:58:00,박신입,E-C,전자상가,16983,일반
2024-05-10 03:13:00,이대리,E-B,구내식당,37461,일반
2024-05-10 14:27:00,김팀장,E-A,강남역 룸살롱,6692,일반
2024-05-10 19:47:00,윤사원,E-D,편의점,7387,일반
2024-05-11 08:49:00,박신입,E-C,전자상가,82918,일반
2024-05-11 10:07:00,신인턴,E-H,전자상가,41508,일반
