# access control bulk log — generated
# timezone: Asia/Seoul
2024-07-28T00:00:00+09:00 badge=E-B name=이대리 auth=badge door=server_room ACTION=ENTER
2024-07-28T00:01:18+09:00 badge=E-J name=조연구원 auth=badge door=lobby ACTION=DENIED
2024-07-28T00:02:56+09:00 badge=E-B name=이대리 auth=badge door=office_floor3 ACTION=PING
2024-07-28T00:05:31+09:00 badge=E-G name=오주임 auth=badge door=parking ACTION=ENTER
2024-07-28T00:10:42+09:00 badge=E-B name=이대리 auth=badge door=server_room ACTION=DENIED
2024-07-28T00:12:50+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=DENIED
2024-07-28T00:15:03+09:00 badge=E-D name=윤사원 auth=badge door=lounge ACTION=ENTER
2024-07-28T00:15:42+09:00 badge=E-A name=김팀장 auth=badge door=lounge ACTION=EXIT
2024-07-28T00:19:36+09:00 badge=E-E name=정대리 auth=badge door=office_floor3 ACTION=EXIT
2024-07-28T00:20:05+09:00 badge=E-H name=신인턴 auth=badge door=lab ACTION=ENTER
2024-07-28T00:20:15+09:00 badge=E-G name=오주임 auth=badge door=server_room ACTION=DENIED
2024-07-28T00:23:20+09:00 badge=E-A name=김팀장 auth=badge door=office_floor3 ACTION=EXIT
2024-07-28T00:25:04+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=ENTER
2024-07-28T00:26:04+09:00 badge=E-B name=이대리 auth=badge door=lobby ACTION=DENIED
2024-07-28T00:29:41+09:00 badge=E-H name=신인턴 auth=badge door=parking ACTION=PING
2024-07-28T00:34:21+09:00 badge=E-I name=배수석 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T00:35:32+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=EXIT
2024-07-28T00:36:04+09:00 badge=E-D name=윤사원 auth=badge door=server_room ACTION=DENIED
2024-07-28T00:36:48+09:00 badge=E-J name=조연구원 auth=badge door=lobby ACTION=DENIED
2024-07-28T00:37:12+09:00 badge=E-A name=김팀장 auth=badge door=server_room ACTION=EXIT
2024-07-28T00:39:05+09:00 badge=E-A name=김팀장 auth=badge door=lab ACTION=PING
2024-07-28T00:40:43+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=ENTER
2024-07-28T00:44:24+09:00 badge=E-J name=조연구원 auth=badge door=lounge ACTION=EXIT
2024-07-28T00:44:54+09:00 badge=E-A name=김팀장 auth=badge door=lobby ACTION=PING
2024-07-28T00:45:37+09:00 badge=E-H name=신인턴 auth=badge door=server_room ACTION=ENTER
2024-07-28T00:45:51+09:00 badge=E-D name=윤사원 auth=badge door=parking ACTION=ENTER
2024-07-28T00:46:58+09:00 badge=E-H name=신인턴 auth=badge door=server_room ACTION=DENIED
2024-07-28T00:49:45+09:00 badge=E-J name=조연구원 auth=badge door=parking ACTION=EXIT
2024-07-28T00:50:11+09:00 badge=E-H name=신인턴 auth=badge door=lab ACTION=ENTER
2024-07-28T00:52:39+09:00 badge=E-I name=배수석 auth=badge door=lounge ACTION=DENIED
2024-07-28T00:58:53+09:00 badge=E-E name=정대리 auth=badge door=lobby ACTION=ENTER
2024-07-28T00:59:58+09:00 badge=E-F name=한과장 auth=badge door=office_floor3 ACTION=PING
2024-07-28T01:00:13+09:00 badge=E-I name=배수석 auth=badge door=parking ACTION=PING
2024-07-28T01:00:31+09:00 badge=E-D name=윤사원 auth=badge door=lounge ACTION=PING
2024-07-28T01:04:01+09:00 badge=E-H name=신인턴 auth=badge door=lab ACTION=DENIED
2024-07-28T01:04:11+09:00 badge=E-I name=배수석 auth=badge door=parking ACTION=DENIED
2024-07-28T01:06:02+09:00 badge=E-B name=이대리 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T01:10:10+09:00 badge=E-F name=한과장 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T01:12:50+09:00 badge=E-I name=배수석 auth=badge door=lobby ACTION=EXIT
2024-07-28T01:14:52+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=PING
2024-07-28T01:16:31+09:00 badge=E-J name=조연구원 auth=badge door=lab ACTION=PING
2024-07-28T01:19:33+09:00 badge=E-B name=이대리 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T01:19:50+09:00 badge=E-B name=이대리 auth=badge door=server_room ACTION=ENTER
2024-07-28T01:20:11+09:00 badge=E-A name=김팀장 auth=badge door=office_floor3 ACTION=PING
2024-07-28T01:22:02+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=DENIED
2024-07-28T01:23:26+09:00 badge=E-I name=배수석 auth=badge door=lounge ACTION=EXIT
2024-07-28T01:23:34+09:00 badge=E-B name=이대리 auth=badge door=lounge ACTION=ENTER
2024-07-28T01:23:56+09:00 badge=E-C name=박신입 auth=badge door=lounge ACTION=PING
2024-07-28T01:24:31+09:00 badge=E-D name=윤사원 auth=badge door=server_room ACTION=ENTER
2024-07-28T01:37:56+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=ENTER
2024-07-28T01:42:40+09:00 badge=E-F name=한과장 auth=badge door=server_room ACTION=EXIT
2024-07-28T01:47:27+09:00 badge=E-F name=한과장 auth=badge door=lobby ACTION=EXIT
2024-07-28T01:51:51+09:00 badge=E-E name=정대리 auth=badge door=lobby ACTION=PING
2024-07-28T01:57:47+09:00 badge=E-G name=오주임 auth=badge door=lobby ACTION=DENIED
2024-07-28T01:58:19+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=DENIED
2024-07-28T01:59:32+09:00 badge=E-E name=정대리 auth=badge door=server_room ACTION=ENTER
2024-07-28T02:00:15+09:00 badge=E-H name=신인턴 auth=badge door=parking ACTION=PING
2024-07-28T02:01:13+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=ENTER
2024-07-28T02:03:55+09:00 badge=E-A name=김팀장 auth=badge door=parking ACTION=DENIED
2024-07-28T02:04:05+09:00 badge=E-I name=배수석 auth=badge door=lab ACTION=DENIED
